	texts	labels
0	class logstash logstash flexibl log aggreg framework built top elasticsearch distribut document store let configur log pipelin ingress log data various sourc varieti format paramet heap memori mb amount memori alloc logstash megabyt filter worker number worker thread run process filter sampl usag class logstash heap memori mb filter worker class logstash heap memori mb filter worker requir packag openjdk jre headless packag logstash ensur present requir packag openjdk jre headless file etc default logstash content templat logstash default erb requir packag logstash notifi servic logstash file etc logstash conf ensur directori recurs true purg true forc true sourc puppet modul logstash conf requir packag logstash servic logstash ensur run provid debian enabl true hasstatus true hasrestart true requir packag logstash upstream packag provid sysv upstart startup script remov upstart version puppet servic logstash fight use file etc init logstash conf ensur absent requir packag logstash file etc init logstash web conf ensur absent requir packag logstash exec instal logstash contrib plugin command opt logstash bin plugin instal contrib unless usr bin test opt logstash vendor logstash requir packag logstash notifi servic logstash	0
1	defin npm global resourc instal node js modul global defin npm global requir npm exec npm global titl command usr bin npm instal g titl user root group root creat usr lib node modul titl environ npm config cach npm cach dir npm config global fals link g	1
2	class role wikidata role provis wiki act wikidata repo make wiki client use live compos manag wikidata modul gerrit main page titl main page class role wikidata main page requir role mediawiki includ role sitematrix mediawiki wiki wikidata ensur resourc mediawiki wiki en todo go http wikidata wiki local wmftest net work explicit visit main page main namespac creat instal still throw error could add option instal choos main page titl puppet delet old main page use deletebatch php delet option requir f mediawiki import text main page content welcom wikidata wiki wikidata db name wikidatawiki mediawiki import text mediawiki mainpag content main page wiki wikidata db name wikidatawiki mediawiki extens wikidatabuildresourc remot https gerrit wikimedia org r wikidata build resourc entrypoint wikidata php compos true need updat true set templat role wikidata share php erb mediawiki set wikidata init prioriti load earli valu templat role wikidata init php erb exec wikidata updat git remot command usr bin git remot set url origin https gerrit wikimedia org r wikidata build resourc unless usr bin git remot v grep q https gerrit wikimedia org r wikidata build resourc cwd mediawiki dir extens wikidatabuildresourc requir mediawiki extens wikidatabuildresourc mediawiki mainten wikidata popul site tabl command usr local bin foreachwikiwithextens wikidatabuildresourc extens wikidatabuildresourc extens wikibas lib mainten populatesitest php load http en mediawiki multiwiki base domain port fragment w api php refreshon true mediawiki wiki mediawiki mainten wikidata popul site tabl	0
3	class role oauth role set oauth extens mediawiki oauth enabl applic edit instanc mediawiki user behalf class role oauth dir secret key exampl consum key exampl consum secret exampl secret key requir role mediawiki mediawiki extens oauth need updat true compos true set wgmwoauthsecuretokentransf fals wgoauthsecretkey secret key wggrouppermiss sysop mwoauthmanageconsum true wggrouppermiss user mwoauthproposeconsum true wggrouppermiss user mwoauthupdateownconsum true wgoauthgroupstonotifi sysop file dir ensur directori file dir index php content templat role oauth hello world php erb file dir oauth hello world ini content templat role oauth oauth hello world ini erb apach site conf oauth hello world site devwiki content templat role oauth apach conf erb role oauth consum hello world descript oauth test mw vagrant consum key exampl consum key secret key exampl secret key callback url mediawiki server url oauth hello world grant useoauth editpag createeditmovepag mediawiki import text vagrantroleoauth sourc puppet modul role oauth vagrantroleoauth wiki	1
4	class role newslett configur newslett extens class role newslett mediawiki extens newslett need updat true	0
5	class jsduck role provis jsduck javascript document tool common use mediawiki code class jsduck packag jsduck ensur provid gem	1
6	class cdh oozi server instal configur oozi server databas set oozi databas also creat databas class see http www cloudera com content cloudera content cloudera doc cdh latest cdh instal guid cdh ig oozi configur html paramet databas name databas class set undef disabl configuart oozi databas default mysql jdbc databas oozi databas name default oozi jdbc usernam oozi jdbc usernam default oozi jdbc password oozi jdbc password default oozi jdbc host oozi jdbc hostnam default localhost jdbc port oozi jdbc port default jdbc driver oozi jdbc driver class name default com mysql jdbc driver jdbc protocol name databas protocol default mysql db root usernam usernam metastor databas creation command default undef db root password password metastor databas creation command set root user cannot issu databas command without differ usernam password default undef smtp host smtp host email notif default undef smtp configur smtp port smtp port default smtp email sender email address notif default undef smtp usernam usernam smtp authent default undef smtp password password smtp authent default undef author servic secur enabl disabl user manag oozi system manag job default true admin user array user oozi admin default hdfs heapsiz xmx mb pass oozi server default class cdh oozi server databas cdh oozi default databas jdbc databas cdh oozi default jdbc databas jdbc usernam cdh oozi default jdbc usernam jdbc password cdh oozi default jdbc password jdbc host cdh oozi default jdbc host jdbc port cdh oozi default jdbc port jdbc driver cdh oozi default jdbc driver jdbc protocol cdh oozi default jdbc protocol db root usernam cdh oozi default db root usernam db root password cdh oozi default db root password smtp host cdh oozi default smtp host smtp port cdh oozi default smtp port smtp email cdh oozi default smtp email smtp usernam cdh oozi default smtp usernam smtp password cdh oozi default smtp password author servic author enabl cdh oozi default author servic author enabl admin user cdh oozi default admin user heapsiz cdh oozi default heapsiz oozi site templat cdh oozi default oozi site templat oozi env templat cdh oozi default oozi env templat oozi log j templat cdh oozi default oozi log j templat inherit cdh oozi default cdh oozi server requir hadoop client config instal class cdh hadoop class cdh oozi server also requir cdh oozi client class class cdh oozi class cdh oozi server packag oozi ensur instal config directori etc oozi conf cdh hadoop cluster name creat cluster name base config directori file config directori ensur directori requir packag oozi cdh altern oozi conf link etc oozi conf path config directori todo work oozi web ui refer ext file direct caus javascript error libj extj packag version oozi need extj web ui defin packag libj extj packag libj extj ensur instal symlink extj instal path var lib oozi requir oozi web interfac work file var lib oozi extj ensur link target usr share javascript extj requir packag oozi packag libj extj extract instal oozi sharelib hdfs user oozi share lib lib timestamp see also http blog cloudera com blog use sharelib apach oozi cdh sudo u hdfs hadoop fs mkdir user oozi sudo u hdfs hadoop fs chmod user oozi sudo u hdfs hadoop fs chown oozi oozi user oozi cdh hadoop directori user oozi owner oozi group hadoop mode requir packag oozi put oozi sharelib hdfs oozi sharelib archiv usr lib oozi oozi sharelib yarn tar gz hdfs uri hdfs cdh hadoop namenod host exec oozi sharelib instal command usr bin oozi setup sharelib creat fs hdfs uri locallib oozi sharelib archiv unless usr bin hdfs dfs ls user oozi grep q user oozi share user root requir cdh hadoop directori user oozi file config directori oozi site xml content templat oozi site templat mode databas pw world readabl owner root group oozi file config directori oozi env sh content templat oozi env templat mode owner root group oozi file config directori oozi log j properti content templat oozi log j templat mode owner root group oozi file config directori adminus txt content inlin templat admin user one user line n array admin user join n n mode databas pw world readabl owner root group oozi oozi need action conf directori insid config directori exist even file file config directori action conf ensur directori databas databas class cdh oozi databas databas set databas includ databas class class databas class make sure databas class includ set start oozi server servic class databas class servic oozi servic oozi ensur run hasrestart true hasstatus true subscrib file config directori oozi site xml file config directori oozi env sh requir file var lib oozi extj	1
7	class crm drush drush commandlin drupal manipul class crm drush root includ crm requir packag drush fixm correct handl path everywher wrapper usr local bin drush file wrapper ensur present mode content templat crm drush wrapper sh erb	0
8	class role disableaccount instal disableaccount extens allow lock user account https www mediawiki org wiki extens disableaccount class role disableaccount mediawiki extens disableaccount set wggrouppermiss sysop disableaccount true	0
9	class motd modul custom motd messag day banner class motd file etc updat motd ensur directori recurs true ignor purg true notifi exec updat motd exec updat motd command bin run part lsbsysinit etc updat motd run motd refreshon true	0
