;texts;labels
0;sourc code form subject term mozilla public licens v copi mpl distribut file obtain one http mozilla org mpl class ssh config includ user root includ ssh set includ ssh servic case operatingsystem cento enabl sftp sybsystem cento sftp line subsystem sftp usr libexec openssh sftp server case operatingsystem window includ packag kts publickey logon ini c program file kts publickey logon ini rsakey ky c program file kts rsakey ky kts ini c program file kts kts ini file ssh set genkey dir ensur directori instal kts ini file c program file kts kts ini content templat modul name kts ini erb show diff fals notifi servic kts generat server key kts exec rsakey command c program file kts daemon exe rsakey requir class packag kts notifi servic kts creat rsakey ky instal logon batch file share motd file file c program file kts script allus bat sourc puppet modul ssh allus bat replac true requir class packag kts regener publickey logon ini connect everyth would modifi c program file kts key ssh userconfig ssh extra author key c program file kts pass user root builder etc file ssh set genkey dir genkey rb sourc puppet modul ssh genkey rb requir class packag kts exec generat kts publickey logon ini command rubi interpret genkey rb publickey logon ini cwd ssh set genkey dir requir file ssh set genkey dir genkey rb refreshon true logoutput true final ensur file password readabl system root particular builder acl publickey logon ini ssh set genkey dir rsakey ky kts ini purg true inherit parent permiss fals requir exec generat kts publickey logon ini file ssh set genkey dir exec rsakey file kts ini permiss ident root right full ident system right full default file ssh set ssh config owner user root usernam group user root group mode content templat modul name ssh config erb ssh set sshd config owner user root usernam group user root group mode notifi class ssh servic restart daemon necessari content templat modul name sshd config erb ssh set known host owner user root usernam group user root group mode content templat modul name known host erb;1
1;sourc code form subject term mozilla public licens v copi mpl distribut file obtain one http mozilla org mpl class timezon includ user root case operatingsystem cento includ packag tzdata file etc localtim mode owner root group user root group content file usr share zoneinfo us pacif forc true requir class packag tzdata notifi exec usr sbin tzdata updat etc sysconfig clock mode owner root group user root group content zone us pacif forc true requir class packag tzdata notifi exec usr sbin tzdata updat exec usr sbin tzdata updat refreshon true ubuntu includ packag tzdata file etc timezon mode owner root group user root group content america los angel n forc true requir class packag tzdata exec dpkg reconfigur tzdata command usr sbin dpkg reconfigur f noninteract tzdata subscrib file etc timezon refreshon true darwin osxutil systemsetup timezon set america los angel window todo win add support;1
2;sourc code form subject term mozilla public licens v copi mpl distribut file obtain one http mozilla org mpl relab machin check dustin borrow one temp node b w winbuild releng scl mozilla com slave trustlevel tri includ toplevel slave releng node relab puppet relab releng scl mozilla com node secur level high includ toplevel server puppetmast node hp relab releng scl mozilla com includ toplevel base node hp relab releng scl mozilla com includ toplevel base node hp relab releng scl mozilla com includ toplevel base node hp relab releng scl mozilla com includ toplevel server node hp relab releng scl mozilla com includ toplevel base node hp relab releng scl mozilla com includ toplevel base node hp relab releng scl mozilla com includ toplevel base node ix mn relab releng scl mozilla com includ toplevel base node ix mn relab releng scl mozilla com includ toplevel base node ix mn relab releng scl mozilla com includ toplevel base node ix mn relab releng scl mozilla com includ toplevel base node ix mn relab releng scl mozilla com includ toplevel base node ix mn relab releng scl mozilla com includ toplevel base node ix relab releng scl mozilla com includ toplevel base node ix relab releng scl mozilla com includ toplevel base node ix relab releng scl mozilla com includ toplevel base node ix relab releng scl mozilla com includ toplevel base node ix relab releng scl mozilla com includ toplevel base node ix relab releng scl mozilla com includ toplevel base node ix relab releng scl mozilla com includ toplevel base node ix relab releng scl mozilla com includ toplevel base node ix relab releng scl mozilla com includ toplevel base node dividehex test relab releng scl mozilla com includ toplevel server;0
3;sourc code form subject term mozilla public licens v copi mpl distribut file obtain one http mozilla org mpl class selfserv agent instal includ config includ dir build includ user builder includ packag mozilla python includ packag gcc includ packag make includ packag mysql devel includ selfserv agent set python virtualenv selfserv agent set root python packag mozilla python python requir class packag mozilla python user user builder usernam group user builder group packag anyjson beaker formencod mako markupsaf mysql python past pastedeploy pastescript pygment pylon amqp buildapi buildbot pre moz decor distribut kombu rout sqlalchemi tempita twist weberror webhelp webob webtest meld nose pytz redi simplejson wsgiref zope interfac;0
4;sourc code form subject term mozilla public licens v copi mpl distribut file obtain one http mozilla org mpl class runner task restart servic runlevel includ runner servic name temporari remov old leftov previous runlevel file opt runner task restart servic ensur absent file opt runner task restart servic ensur absent runner task runlevel restart servic content templat modul name task restart servic erb;1
5;sourc code form subject term mozilla public licens v copi mpl distribut file obtain one http mozilla org mpl class puppetmast puppetsync user includ puppetmast set homedir puppetmast set puppetsync home case operatingsystem cento ubuntu user puppetsync managehom true home homedir password unlock account without set password comment synchron data beteween puppet master default fai support operatingsystem set puppetsync homedir ssh config file homedir ensur directori owner puppetsync group puppetsync mode purg true recurs true forc true requir user puppetsync homedir ssh owner puppetsync group puppetsync mode ensur directori homedir ssh known host ensur absent homedir ssh config content templat modul name puppetsync ssh config erb owner puppetsync group puppetsync mode key kept outsid puppetsync master access privkey var lib puppet puppetsync rsa pubkey var lib puppet puppetsync rsa pub puppetmast set distinguish exec creat puppetsync privat key command usr bin ssh keygen f privkey n logoutput true creat privkey puppetsync pubkey file pubkey file homedir ssh author key content templat modul name puppetsync author key erb owner puppetsync group puppetsync mode author key remov recurs true non distinguish master els copi privat key current master file copi key actual use homedir ssh puppetsync rsa owner puppetsync group puppetsync mode content file privkey show diff fals file everyon get copi share among master privkey owner puppet group puppet mode content file privkey show diff fals pubkey owner puppet group puppet mode content file pubkey;1
6;sourc code form subject term mozilla public licens v copi mpl distribut file obtain one http mozilla org mpl class packag mod passeng case operatingsystem cento care updat without immedi restart apach caus puppet file url caus recurs file resourc sudden delet everyth packag mod passeng ensur el default fail cannot instal operatingsystem;0
7;sourc code form subject term mozilla public licens v copi mpl distribut file obtain one http mozilla org mpl defin bor cron basedir owner status locat status locat use bor cron erb templat includ packag procmail lockfil file etc cron bor titl ensur absent;0
8;class one two appli assert succeed condit true class two three appli assert fail condit non exist fact class three four appli assert skip due ensur absent ensur absent condit non exist fact class four class one notifi test class two notifi second class class three notifi third class class four notifi fourth class;0
9;sourc code form subject term mozilla public licens v copi mpl distribut file obtain one http mozilla org mpl mozilla buildbot master class toplevel server buildmast mozilla inherit toplevel server buildmast includ buildmast base includ buildmast releas runner access includ buildmast queue includ buildmast set includ packag procmail lockfil;0
