;texts;labels
0;class cluster haproxi rsyslog configur rsyslog corosync pacemak manag haproxi paramet log file log file locat haproxi default var log haproxi log class cluster haproxi rsyslog log file var log haproxi log includ rsyslog param file etc rsyslog haproxi conf ensur present content templat modul name haproxi conf erb notifi servic rsyslog param servic name defin servic rsyslog param servic name servic rsyslog param servic name ensur run enabl true;1
1;class keyston log keyston log configur paramet debug option daemon log debug messag default os servic default use syslog option use syslog log default os servic default use stderr option use stderr log default os servic default log facil option syslog facil receiv log line default os servic default log dir option directori log store set boolean fals log directori default var log keyston log file option file log store default os servic default log context format string option format string use log messag context default os servic default exampl asctim msec process levelnam name request id user ident instanc messag log default format string option format string use log messag without context default os servic default exampl asctim msec process levelnam name instanc messag log debug format suffix option format data append log format level debug default os servic default exampl funcnam pathnam lineno log except prefix option prefix line except output format default os servic default exampl asctim msec process trace name instanc log user ident format option defin format string user ident use log context format string default os servic default exampl user tenant domain user domain project domain log config append name addit log configur file default os servic default see https doc python org howto log html default log level option hash logger key level valu pair default os servic default exampl amqp warn amqplib warn boto warn sqlalchemi warn sud info oslo messag info iso warn request packag urllib connectionpool warn urllib connectionpool warn websocket warn keystonemiddlewar warn rout middlewar warn stevedor warn publish error option publish error event boolean valu default os servic default fatal deprec option make deprec fatal boolean valu default os servic default instanc format option instanc pass log messag format like string valu default os servic default exampl instanc uuid instanc uuid format option instanc uuid pass log messag format like string valu default os servic default exampl instanc uuid format instanc uuid log date format option format string asctim log record default os servic default exampl h watch log file option use log handler design watch file system boolean valu default os servic default deprec verbos option deprec daemon log verbos messag default undef class keyston log use syslog os servic default use stderr os servic default log facil os servic default log dir var log keyston log file os servic default debug os servic default log context format string os servic default log default format string os servic default log debug format suffix os servic default log except prefix os servic default log user ident format os servic default log config append os servic default default log level os servic default publish error os servic default fatal deprec os servic default instanc format os servic default instanc uuid format os servic default log date format os servic default watch log file os servic default deprec verbos undef includ keyston dep verbos warn verbos deprec effect remov newton cycl note spredzi order keep backward compat reli pick function use keyston myparam first keyston log myparam use syslog real pick keyston use syslog use syslog use stderr real pick keyston use stderr use stderr log facil real pick keyston log facil log facil log dir real pick keyston log dir log dir log file real pick keyston log file log file debug real pick keyston debug debug oslo log keyston config debug debug real log config append log config append log date format log date format log file log file real log dir log dir real watch log file watch log file use syslog use syslog real syslog log facil log facil real use stderr use stderr real log context format string log context format string log default format string log default format string log debug format suffix log debug format suffix log except prefix log except prefix log user ident format log user ident format default log level default log level publish error publish error instanc format instanc format instanc uuid format instanc uuid format fatal deprec fatal deprec;0
2;resourc midonet resourc network creation creat extern tenant network creat port paramet api endpoint midonet api endpoint keyston usernam keyston usernam keyston password kkeyston password tenant name tenant name control ip control node ip control neutron port control neutron port network extern name extern network alloc pool alloc pool extern subnet gateway ip gateway ip subnet cidr subnet cidr ex subnet name subnet name ex ext subnet edg router name edg router name edg network name edg network name edg subnet name edg subnet name edg cidr edg cidr ex port name port name port fix ip port fix ip port interfac name port interfac name old fashion form like eth eth exampl network creation api endpoint http midonet api keyston usernam midogod keyston password testmido tenant name admin control ip control neutron port network extern ext net alloc pool start end gateway ip subnet cidr subnet name ext subnet edg router name edg router edg network name net edg gw edg subnet name subnet edg gw edg cidr port name testport port fix ip port interfac name eth author midonet http midonet org copyright copyright c midokura sarl right reserv licens apach licens version licens may use file except complianc licens may obtain copi licens http www apach org licens licens unless requir applic law agre write softwar distribut licens distribut basi without warranti condit kind either express impli see licens specif languag govern permiss limit licens defin midonet resourc network creation api endpoint http midonet api keyston usernam midogod keyston password testmido tenant name admin control ip control neutron port network extern ext net alloc pool start end gateway ip subnet cidr subnet name ext subnet edg router name edg router edg network name net edg gw edg subnet name subnet edg gw edg cidr port name testport port fix ip port interfac name eth bind host id undef includ stdlib osfamili debian operatingsystemmajreleas packag biosdevnam ensur latest neutron router edg router name osfamili redhat packag biosdevnam ensur latest neutron router edg router name neutron network network extern ensur present router extern true share fals neutron subnet subnet name ensur present alloc pool alloc pool enabl dhcp fals gateway ip gateway ip cidr subnet cidr network name network extern neutron router edg router name ensur present neutron router interfac edg router name subnet name ensur present neutron network edg network name ensur present tenant id tenant name provid network type uplink neutron subnet edg subnet name ensur present enabl dhcp fals cidr edg cidr tenant id tenant name network name edg network name neutron port port name ensur present network name edg network name bind host id pick bind host id hostnam bind profil interfac name c int name port interfac name ip address port fix ip neutron router interfac edg router name null ensur present port port name;1
3;class murano cfapi murano servic broker packag servic paramet manag servic option whether servic manag puppet default true enabl option servic enabl default true packag ensur option ensur state packag default present tenant requir tenant cloudfoundri api bind host option host murano cloudfoundri api listen default os servic default bind port option port murano cloudfoundri api listen default os servic default auth url option public ident endpoint default http class murano cfapi tenant manag servic true enabl true packag ensur present bind host os servic default bind port os servic default auth url http includ murano param includ murano polici murano cfapi config servic murano cfapi class murano polici servic murano cfapi manag servic enabl servic ensur run els servic ensur stop murano cfapi config cfapi tenant valu tenant cfapi bind host valu bind host cfapi bind port valu bind port cfapi auth url valu auth url packag murano cfapi ensur packag ensur name murano param cfapi packag name tag openstack murano packag servic murano cfapi ensur servic ensur name murano param cfapi servic name enabl enabl requir packag murano cfapi tag murano servic packag murano cfapi servic murano cfapi murano cfapi past ini config servic murano cfapi;1
4;class cinder volum netapp configur cinder use netapp unifi volum driver paramet netapp login requir administr user account name use access storag system proxi server netapp password requir password administr user account specifi netapp login option netapp server hostnam requir hostnam ip address storag system proxi server netapp server port option tcp port use communic storag system proxi specifi data ontap driver use http https e seri use http https default netapp size multipli option quantiti multipli request volum size ensur enough space avail virtual storag server vserver fulfil volum creation request default netapp storag famili option storag famili type use storag system valid valu ontap mode use data ontap oper mode ontap cluster use cluster data ontap eseri netapp e seri default ontap cluster netapp storag protocol option storag protocol use data path storag system valid valu iscsi fc nfs default nfs netapp transport type option transport protocol use communic storag system proxi server valid valu http https default http netapp vfiler option vfiler unit provis block storag volum done paramet use driver connect instanc storag famili data ontap oper mode use paramet util multistor featur netapp storag system default undef netapp volum list option paramet util storag protocol configur use iscsi fc paramet use restrict provis specifi control volum specifi valu paramet comma separ list netapp control volum name use provis default undef netapp vserver option option specifi virtual storag server vserver name storag cluster provis block storag volum occur default undef netapp partner backend name option name config conf stanza data ontap mode ha partner option use driver connect instanc storag famili data ontap oper mode requir storag protocol select fc default undef expiri thres minut option paramet specifi threshold last access time imag nfs imag cach cach clean cycl begin imag cach access last minut valu paramet delet cach creat free space nfs share default thres avl size perc start option percentag avail space nfs share drop valu specifi paramet nfs imag cach clean default thres avl size perc stop option percentag avail space nfs share reach percentag specifi paramet driver stop clear file nfs imag cach access last minut valu expiri thres minut paramet default nfs share option array nfs export form host share written file specifi nfs share config default undef nfs share config option file list avail nfs share default etc cinder share conf nfs mount option option mount option pass nfs client see section nfs man page detail default undef netapp copyoffload tool path option option specifi path netapp copi offload tool binari ensur binari execut permiss set allow effect user cinder volum process execut file default undef netapp control ip option option util storag famili configur eseri option use restrict provis specifi control specifi valu option comma separ list control hostnam ip address use provis default undef netapp sa password option password netapp e seri storag array default undef netapp storag pool option option use restrict provis specifi storag pool dynam disk pool current support specifi valu option comma separ list disk pool name use provis default undef netapp host type option option use defin control work particular oper system host connect default os servic default netapp webservic path option option use specifi path e seri proxi applic proxi server valu combin valu netapp transport type netapp server hostnam netapp server port option creat url use driver connect proxi applic default devmgr v extra option option hash extra option pass backend stanza default exampl netapp backend param valu valu deprec paramet netapp eseri host type option deprec option use defin control e seri storag array work particular oper system host connect default undef exampl class cinder volum netapp netapp login clusteradmin netapp password password netapp server hostnam netapp mycorp com netapp server port netapp transport type https netapp vserver openstack vserver author bob callaway bob callaway netapp com copyright copyright netapp inc class cinder volum netapp netapp login netapp password netapp server hostnam netapp server port netapp size multipli netapp storag famili ontap cluster netapp storag protocol nfs netapp transport type http netapp vfiler undef netapp volum list undef netapp vserver undef netapp partner backend name undef expiri thres minut thres avl size perc start thres avl size perc stop nfs share undef nfs share config etc cinder share conf netapp copyoffload tool path undef netapp control ip undef netapp sa password undef netapp storag pool undef netapp host type os servic default netapp webservic path devmgr v nfs mount option undef extra option deprec paramet netapp eseri host type undef netapp eseri host type warn netapp eseri host type paramet deprec use netapp host type instead netapp host type real netapp eseri host type els netapp host type real netapp host type warn usag cinder volum netapp deprec pleas use cinder backend netapp instead cinder backend netapp default netapp login netapp login netapp password netapp password netapp server hostnam netapp server hostnam netapp server port netapp server port netapp size multipli netapp size multipli netapp storag famili netapp storag famili netapp storag protocol netapp storag protocol netapp transport type netapp transport type netapp vfiler netapp vfiler netapp volum list netapp volum list netapp vserver netapp vserver netapp partner backend name netapp partner backend name expiri thres minut expiri thres minut thres avl size perc start thres avl size perc start thres avl size perc stop thres avl size perc stop nfs share nfs share nfs share config nfs share config netapp copyoffload tool path netapp copyoffload tool path netapp control ip netapp control ip netapp sa password netapp sa password netapp storag pool netapp storag pool netapp host type netapp host type real netapp webservic path netapp webservic path nfs mount option nfs mount option extra option extra option;1
5;class osnailyfact virtual ip virtual ip;1
6;class keyston ldap implement ldap configur keyston paramet url url connect ldap server string valu default undef user user binddn queri ldap server string valu default undef password password binddn queri ldap server string valu default undef suffix ldap server suffix string valu default undef queri scope ldap scope queri either one onelevel singlelevel sub subtre wholesubtre string valu default undef page size maximum result per page valu zero disabl page integ valu default undef user tree dn search base user string valu default undef user filter ldap search filter user string valu default undef user objectclass ldap objectclass user string valu default undef user id attribut ldap attribut map user id warn must multivalu attribut string valu default undef user name attribut ldap attribut map user name string valu default undef user mail attribut ldap attribut map user email string valu user enabl attribut ldap attribut map user enabl flag string valu default undef user enabl mask bitmask integ indic bit enabl valu store ldap server repres enabl bit integ rather boolean valu indic mask use set typic valu typic use user enabl attribut useraccountcontrol integ valu default undef user enabl default default valu enabl user match appropri int valu ldap server use non boolean bitmask valu indic user enabl disabl set true typic valu typic use user enabl attribut useraccountcontrol string valu default undef user enabl invert invert mean boolean enabl valu ldap server use boolean lock attribut true mean account disabl set user enabl invert true allow lock attribut use set effect user enabl mask user enabl emul set use boolean valu default undef user attribut ignor list attribut strip user updat list valu default undef user default project id attribut ldap attribut map default project id user string valu default undef user allow creat allow user creation ldap backend boolean valu default undef user allow updat allow user updat ldap backend boolean valu default undef user allow delet allow user delet ldap backend boolean valu default undef user pass attribut ldap attribut map password string valu default undef user enabl emul true keyston use altern method determin user enabl check member user enabl emul dn group boolean valu default undef user enabl emul dn dn group entri hold enabl user use enabl emul string valu default undef user addit attribut map list addit ldap attribut use map addit attribut map user attribut map format ldap attr user attr ldap attr attribut ldap entri user attr ident api attribut list valu default undef project tree dn search base project string valu default undef project filter ldap search filter project string valu default undef project objectclass ldap objectclass project string valu default undef project id attribut ldap attribut map project id string valu default undef project member attribut ldap attribut map project membership user string valu default undef project name attribut ldap attribut map project name string valu default undef project desc attribut ldap attribut map project descript string valu default undef project enabl attribut ldap attribut map project enabl string valu default undef project domain id attribut ldap attribut map project domain id string valu default undef project attribut ignor list attribut strip project updat list valu default undef project allow creat allow project creation ldap backend boolean valu default undef project allow updat allow project updat ldap backend boolean valu default undef project allow delet allow project delet ldap backend boolean valu default undef project enabl emul true keyston use altern method determin project enabl check member project enabl emul dn group boolean valu default undef project enabl emul dn dn group entri hold enabl project use enabl emul string valu default undef project addit attribut map addit attribut map project attribut map format ldap attr user attr ldap attr attribut ldap entri user attr ident api attribut list valu default undef role tree dn search base role string valu default undef role filter ldap search filter role string valu default undef role objectclass ldap objectclass role string valu default undef role id attribut ldap attribut map role id string valu default undef role name attribut ldap attribut map role name string valu default undef role member attribut ldap attribut map role membership string valu default undef role attribut ignor list attribut strip role updat list valu default undef role allow creat allow role creation ldap backend boolean valu default undef role allow updat allow role updat ldap backend boolean valu default undef role allow delet allow role delet ldap backend boolean valu default undef role addit attribut map addit attribut map role attribut map format ldap attr user attr ldap attr attribut ldap entri user attr ident api attribut list valu default undef group tree dn search base group string valu default undef group filter ldap search filter group string valu default undef group objectclass ldap objectclass group string valu default undef group id attribut ldap attribut map group id string valu default undef group name attribut ldap attribut map group name string valu default undef group member attribut ldap attribut map show group membership string valu default undef group desc attribut ldap attribut map group descript string valu default undef group attribut ignor list attribut strip group updat list valu default undef group allow creat allow group creation ldap backend boolean valu default undef group allow updat allow group updat ldap backend boolean valu default undef group allow delet allow group delet ldap backend boolean valu default undef group addit attribut map addit attribut map group attribut map format ldap attr user attr ldap attr attribut ldap entri user attr ident api attribut list valu default undef use tls enabl tls communic ldap server boolean valu default undef tls cacertfil ca certif file path communic ldap server string valu default undef tls cacertdir ca certif directori path communic ldap server string valu default undef tls req cert valid option tls req cert demand never allow string valu default undef ident driver ident backend driver string valu default undef credenti driver credenti backend driver string valu default undef assign driver assign backend driver string valu default undef use pool enabl ldap connect pool boolean valu default fals pool size connect pool size integ valu default pool retri max maximum count reconnect trial integ valu default pool retri delay time span second wait two reconnect trial float point valu default pool connect timeout connector timeout second valu indic indefinit wait respons integ valu default pool connect lifetim connect lifetim second integ valu default use auth pool enabl ldap connect pool end user authent use pool disabl set meaningless use boolean valu default fals auth pool size end user auth connect pool size integ valu default auth pool connect lifetim end user auth connect lifetim second integ valu default packag ensur option desir ensur state packag accept latest specif version default present manag packag option whether modul manag ldap support packag default true deprec group name depend exampl author dan bode dan puppetlab com matt fischer matt mattfisch com copyright copyright puppetlab inc unless otherwis note class keyston ldap url undef user undef password undef suffix undef queri scope undef page size undef user tree dn undef user filter undef user objectclass undef user id attribut undef user name attribut undef user mail attribut undef user enabl attribut undef user enabl mask undef user enabl default undef user enabl invert undef user attribut ignor undef user default project id attribut undef user allow creat undef user allow updat undef user allow delet undef user pass attribut undef user enabl emul undef user enabl emul dn undef user addit attribut map undef project tree dn undef project filter undef project objectclass undef project id attribut undef project member attribut undef project desc attribut undef project name attribut undef project enabl attribut undef project domain id attribut undef project attribut ignor undef project allow creat undef project allow updat undef project allow delet undef project enabl emul undef project enabl emul dn undef project addit attribut map undef role tree dn undef role filter undef role objectclass undef role id attribut undef role name attribut undef role member attribut undef role attribut ignor undef role allow creat undef role allow updat undef role allow delet undef role addit attribut map undef group tree dn undef group filter undef group objectclass undef group id attribut undef group name attribut undef group member attribut undef group desc attribut undef group attribut ignor undef group allow creat undef group allow updat undef group allow delet undef group addit attribut map undef use tls undef tls cacertdir undef tls cacertfil undef tls req cert undef ident driver undef assign driver undef credenti driver undef use pool fals pool size pool retri max pool retri delay pool connect timeout pool connect lifetim use auth pool fals auth pool size auth pool connect lifetim packag ensur present manag packag true includ keyston dep manag packag ldap packag python ldap python ldappool ensur resourc packag ldap packag ensur packag ensur tag keyston packag tls cacertdir undef file tls cacertdir ensur directori keyston config ldap url valu url ldap user valu user ldap password valu password secret true ldap suffix valu suffix ldap queri scope valu queri scope ldap page size valu page size ldap user tree dn valu user tree dn ldap user filter valu user filter ldap user objectclass valu user objectclass ldap user id attribut valu user id attribut ldap user name attribut valu user name attribut ldap user mail attribut valu user mail attribut ldap user enabl attribut valu user enabl attribut ldap user enabl mask valu user enabl mask ldap user enabl default valu user enabl default ldap user enabl invert valu user enabl invert ldap user attribut ignor valu user attribut ignor ldap user default project id attribut valu user default project id attribut ldap user allow creat valu user allow creat ldap user allow updat valu user allow updat ldap user allow delet valu user allow delet ldap user pass attribut valu user pass attribut ldap user enabl emul valu user enabl emul ldap user enabl emul dn valu user enabl emul dn ldap user addit attribut map valu user addit attribut map ldap project tree dn valu project tree dn ldap project filter valu project filter ldap project objectclass valu project objectclass ldap project id attribut valu project id attribut ldap project member attribut valu project member attribut ldap project desc attribut valu project desc attribut ldap project name attribut valu project name attribut ldap project enabl attribut valu project enabl attribut ldap project attribut ignor valu project attribut ignor ldap project domain id attribut valu project domain id attribut ldap project allow creat valu project allow creat ldap project allow updat valu project allow updat ldap project allow delet valu project allow delet ldap project enabl emul valu project enabl emul ldap project enabl emul dn valu project enabl emul dn ldap project addit attribut map valu project addit attribut map ldap role tree dn valu role tree dn ldap role filter valu role filter ldap role objectclass valu role objectclass ldap role id attribut valu role id attribut ldap role name attribut valu role name attribut ldap role member attribut valu role member attribut ldap role attribut ignor valu role attribut ignor ldap role allow creat valu role allow creat ldap role allow updat valu role allow updat ldap role allow delet valu role allow delet ldap role addit attribut map valu role addit attribut map ldap group tree dn valu group tree dn ldap group filter valu group filter ldap group objectclass valu group objectclass ldap group id attribut valu group id attribut ldap group name attribut valu group name attribut ldap group member attribut valu group member attribut ldap group desc attribut valu group desc attribut ldap group attribut ignor valu group attribut ignor ldap group allow creat valu group allow creat ldap group allow updat valu group allow updat ldap group allow delet valu group allow delet ldap group addit attribut map valu group addit attribut map ldap use tls valu use tls ldap tls cacertdir valu tls cacertdir ldap tls cacertfil valu tls cacertfil ldap tls req cert valu tls req cert ldap use pool valu use pool ldap pool size valu pool size ldap pool retri max valu pool retri max ldap pool retri delay valu pool retri delay ldap pool connect timeout valu pool connect timeout ldap pool connect lifetim valu pool connect lifetim ldap use auth pool valu use auth pool ldap auth pool size valu auth pool size ldap auth pool connect lifetim valu auth pool connect lifetim ident driver valu ident driver credenti driver valu credenti driver assign driver valu assign driver;1
7;class ceilomet config class use manag arbitrari ceilomet configur paramet ceilomet config option allow configur ceilomet conf valu hash ceilomet config resourc exampl default foo valu foovalu default bar valu barvalu yaml format exampl ceilomet config default foo valu foovalu default bar valu barvalu ceilomet api past ini option allow configur etc ceilomet api past ini option note configur must alreadi handl modul puppet catalog compil fail duplic resourc class ceilomet config ceilomet config ceilomet api past ini valid hash ceilomet config valid hash ceilomet api past ini creat resourc ceilomet config ceilomet config creat resourc ceilomet api past ini ceilomet api past ini;0
8;defin l network l rout defin l network l rout destin cidr default gateway ip address metric undef vendor specif undef network scheme fals provid undef ensur present includ l network param r name get rout resourc name destin metric defin l rout r name provid config provid provid l os els config provid undef store config resourc configur runtim l rout r name ensur ensur destin destin gateway gateway metric metric vendor specif vendor specif provid provid l featur provid independ ov network scheme l ifconfig l rout l store config titl interfac requir implement l store config generat anchor l network init l rout;1
9;creat float network paramet network mandatori network name work defin nova manag float network includ nova dep nova float name ensur present network network provid nova manag;0
