;texts;labels
0;pse fsw code implement requir consecut cycl fsw spec pse enabl see three consecut pse batteri monitor cycl batteri mount surfac temperatur measur prime redund prt exce tabl specifi limit pse fsw shall switch batteri heater enabl see three consecut pse batteri monitor cycl batteri mount surfac temperatur measur prime redund prt fall tabl specifi limit pse fsw shall switch batteri heater three consecut pse batteri monitor cycl switch redund prt batteri mount surfac temperatur fall outsid tabl specifi high low rang pse fsw shall turn batteri heater first defin incorrect task main pse fsw cpu pse task task main defin pse consecut temperatur violat function fdc batterytemperatureforheatercontrol see mechan handl second time third time temperatur check understand loop loop continu scan read check temperatur far check help understand comment sourc code comment embed attach projectb spacecraft pse fsw code implement requir ;0
1;discrep requir design inform regard number virtual record exist fsw spec telemetri output flight softwar shall set virtual channel number within primari header playback virtual record valu four flight softwar shall set virtual channel number within primari header retransmiss virtual record valu fourteen decim accord cdr slide design virtual record instead search code cdh receiv juli find mention playback retransmiss part code number file file tochntbl global data section channel prioriti entri channel prioriti tabl max chan destin sourc retransmit virtual channel channel real time transmit channel record retransmit channel record retransmit channel record retransmit channel record transmit channel record transmit channel record transmit channel pattern transmit channel pattern transmit channel pattern transmit file file tochntbl type definit section defin max chan size channel prioriti tabl record real time pattern vcdu typedef enum real time retransmit playback max fill ccsd fill virtual chanel virtual channel projectb spacecraft discrep requir design inform code ;0
2;test scenario file set doc scenario warm restart sequenc test restart sequenc build load perform follow sequenc restart warm ace warm gce warm pse warm comm warm wait noop mean warm restart counter increment restart sequenc test help understand tim test scenario file projectb set tim doc attach relev section test scenario document pertain tim highlight yellow keyword test scenario file set doc scenario editor error ;0
3;test scenario file set doc scenario warm restart sequenc test step need verifi max warm restart counter set warm restart count reach caus cold restart max warm restart count set command need set max count test help understand tim test scenario file projectb set tim doc attach relev section test scenario document pertain tim highlight yellow keyword test scenario file set doc scenario one step miss verifi max warm restart count ;0
4;test scenario file set doc scenario wrong telemetri mnemon use clear warm restart counter sbc reset warm flg howev sbc reset warm flg suppos counter sbc reset warm flg flag valu true fals counter help understand tim test scenario file projectb set tim doc attach relev section test scenario document pertain tim highlight yellow search keyword test scenario file set doc scenario wrong telemetri mnemon use ;0
5;projectb set scenario main bullet sub bullet execut warm restart send warm restart command verifi fli warm remain inerti mode enabl task initi nomin verifi warm restart counter order get counter clear counter warm restart command help understand tim test scenario file projectb set doc attach relev section test scenario document pertain tim highlight yellow keyword projectb set scenario warm start counter need reset zero ;0
6;test case thruster test ace evd test scenario nomin separ sunacq part propuls system pressur safehold thruster puls test accord second sub bullet note portion test attitud control remain sunacq mode ace incontrol normal mode thruster puls command ground command address ace believ test cannot done accord ace fsw spec requir ace control shall send thruster command circumst ace current safehold mode control test work ace unabl process thruster command ground order easili locat issu test scenario set embed comment attach tim click relationship projectb fsw accept test set doc thruster test ace control ;0
7;test case transit safehold ace safehold ace scenario nomin separ sunacq part propuls system pressur safehold thruster puls test statement sub bullet mislead confus event ace problem want ace automat take back control ace moment ace still control ace tri get control ace make sens ace tri regain control order easili locat issu test scenario embed comment attach click relationship button test scenario file projectb set doc ace control state match scenario ;0
8;issu occur test scenario file projectb set doc scenario inerti mode combin fine attitud sensor check fdc lack fine attitud sensor input fdc checkout test fdc dss sun presenc effect help understand tim test scenario file attach tim relev portion file pertain tim highlight red follow two bullet occur end test appear revers reset sbc reset verifi remain converg attitud error gyro drift bia valu agreement valu prior sun presenc condit reset error verif statement occur prior reset statement test scenario file projectb set doc scenario test fdc statement revers sinc see error reset ;0
9;test scenario file projectb set doc scenario bad ace css data initi sun acquisit bad convert affect eye equival bad dss data test order test bad dss data system set control sun acq mode ace control normal mode ace use dss data safehold mode test scenario mention control test ensur control accord ace user guid fsw hdbk page star tracker dss interfac directli spacecraft via interfac ace help understand comment pleas see attach click relationship button test scenario file projectb set doc scenario bad ace css data initi sunacq control ;0
