;texts;labels
0;enabl epetramatrix transpos adjoint solv work see mix test result ;1
1;submit contribut patch meshcommun broadcast xdr class ;1
2;improv paramet class ;1
3;system calcul norm work mix dimens mesh ;1
4;modif made correct behavior adapt higher order szabab bernstein ;1
5;latest patch thank martin ;1
6;avoid erron assert method devel ;1
7;fixup inadvert whitespac chang ;1
8;fixup exampl tri use global comm ;1
9;fixup dtk new commun ;1
10;fixup detect ;1
11;fixup checkpointio make work properli serial ;1
12;char unsign char paramet convert int print avoid display unprint charact ;1
13;avoid vec clear reduc memori usag ;1
14;fixup receiv pack rang call ;1
15;hackish workaround petsc trilino conflict ;1
16;fixup dof indic test ;1
17;fixup unintend full local solut vector project ;1
18;bugfix robust accuraci improv comput numer jacobian ;1
19;bugfix heterogen constraint refactor ;1
20;use cheapest patchrecoveri compat patch extens method default ;1
21;fix memori leak merg exist paramet ;1
22;fix peroid boundari condit select variabl ;1
23;patch vikram garg support diffcontext local arbitrari system vector ;1
24;massiv whitespac patch ;1
25;new patch growth option shorter matsiz calcul ;1
26;bugfix projectfemsolut thank roy privat point context side issu ;1
27;exodusii nemesi patch zero ;1
28;semiloc patch construct option ;1
29;patch boyc griffith enabl flexibl reinit option ;1
30;fix tet child side ;1
31;rboomit chang fix error rbeimconstruct evalu basi function previous vector updat correctli ;1
32;fix petscmatrix init petscmatrix zero processor dof case ;1
33;tri send null ostream fix ;1
34;fix elem num map multipl subdomain case ;1
35;fix node side edg pyramid ;1
36;fix const elem iter const node iter friend intend behavior treat return elem node const ;1
37;fix const elem iter const node iter friend intend behavior treat return elem node const ;1
38;fix const elem iter const node iter friend intend behavior treat return elem node const ;1
39;patch manav bhatia templat read datatyp ;1
40;fix xdr read support long doubl doubl precis file ;1
41;basi patch recoveri estim support ;1
42;boundaryinfo sync could fail partit mesh type fix ;1
43;meshrefin mess coarsen flag dont want level complianc fix ;1
44;fix parallel broadcast std set ;1
45;add children fix posit case allgath receiv ascend order ;1
46;fix parallelmesh redistribut simpl enabl parmesh test pass even reparitit turn ;1
47;fix deriv file ;1
48;patch base manav bhatia type mix method ;1
49;fix print problem perflog uniniti variabl laspack ;1
50;fix exampl makefil link mac use gcc ;1
51;assort bugfix compil ;1
52;robust next free fix recent parallelmesh exampl regress ;1
53;fix meshdata write sensibl header minimum info necessari read ;1
54;fix non debug node commun nemesi parallelmesh regress ;1
55;fix automak trunk sync ;1
56;subset stuff compil petsc fix ;1
57;fix get continu hierarch return discontinu also chang comput constraint noop ;1
58;fix total weight non parallel mesh need work right processor broadcast mesh ;1
59;fix infinit loop silli getpot ;1
60;add assert level unless fix could trigger confus bug later ;1
61;final full function also favorit fix xda unv file ;1
62;fix error meshcommun broadcast perflog call ;1
63;fix accident commit intermedi file ;1
64;blank imag fix entri derek ;1
65;rboomit chang fix eim construct enabl parmesh ;1
66;fix issu meshrefin class initi node vector account case mesh coarsen node delet ;1
67;fix comment exampl websit ;1
68;thank steffen fix wrong shift pattern legendr polynomi infinit element ;1
69;fix frequencysystem system reimplement exampl work ;1
70;fix erron assert exampl pass ;1
71;fix copi constructor set element children pointer ;1
72;fix silli test avoid use petsc option ;1
73;fix systembas handl multipl matric vector laspack fix frequencysystem support either fast solut solut larg frequenc depend linear system complex updat accordingli axpi spars matric ;1
74;fix second order boundari condit get inherit ;1
75;fix meshtool includ addit header ;1
76;fix misspel everywher kelley kelli blame present mike anderson misspel ;1
77;fix work trilino make instal target ;1
78;enabl amr fix begin framework constraint base period ;1
79;patch luthi chang line line ;1
80;const correct patch paul bauman ;1
81;martin report bad element patch ;1
82;fix mismatch perflog start stop ;1
83;fix issu numer jacobian neighbor element cross term ;1
84;bugfix refin coarsen ;1
85;cast std size rather assum fix cygwin ;1
86;bugfix processor type unsign int ;1
87;patch martin print paramet name quot ;1
88;bugfix refin coarsen ;1
89;fix bit indic build slepc enabl ;1
90;fix issu debug mode variabl use declar ;1
91;fix sizeof dof type sizeof int ;1
92;fix incorrect statement boundari boundari function ;1
93;fix hack configur ibm power ;1
94;fix hack configur ibm power ;1
95;fix assort odd build configur ;1
96;fix vector enabl femcontext method enabl complex ;1
97;chang fix eim truth solv hybrid mesh ;1
98;librari compat fix real long doubl ;1
99;fix one line proper xda output ;1
100;fix disabl mpi use parallel function conveni ;1
101;fix share librari link ibm ;1
102;fix make link remot assert valid neighbor ;1
103;misc fix suggest origin ;1
104;jed brown updat iscreatelibmesh patch ;1
105;fix altix intel icc ;1
106;fix second deriv support number complex ;1
107;fix hack configur ibm power ;1
108;set fix uniqu valu mesh extrus ;1
109;fix error laspack csr implement longer zero system matrix close newmarksystem ;1
110;reduc basi disabl default comm world fix ;1
111;patch roman vetter support ;1
112;fix configur gcc gcc ;1
113;fix handl mesh use compon scale term ;1
114;fix cvsignor exampl ;1
115;bugfix uniformrefinementestim seem work ;1
116;fix memori leak introduc ;1
117;fix boundari condit reduc basi ;1
118;avoid dynam memori alloc fix length array ;1
119;bugfix non enabl everyth ;1
120;fix exodusii includ boundari info ;1
121;unit test fix enabl complex ;1
122;fix statisticsvector varianc return valu gsl matlab ;1
123;fix boundaryinfo sync refin boundari ;1
124;fix extern libmesh getpot usag ;1
125;patch dmitri karpeev ;1
126;fix return statement condit ;1
127;fix disabl legaci use namespac ;1
128;larg set dof type wconvers fix ;1
129;patch recoveri error estim multithread ;1
130;non default type size correct fix ;1
131;major refactor fix parallelmesh synchron code ;1
