;texts;labels
0;except test unit part ;1
1;document test set array type ;1
2;enabl pylint warn ;1
3;run pylint python ;1
4;namedstream class requir fspath method ;1
5;resolv conflict merg ;1
6;chang includ step univers transfer memori ;1
7;make topolog pass test python ;1
8;ref resolv conflict ;1
9;fixup dcd sphinx error ;1
10;test detect memleak test test basi close ;1
11;global selction keyword close deprec warn fullgroup ;1
12;remov atomgroup cach close ;1
13;close issu ;1
14;netcdf test skip librari miss close ;1
15;port topolog modul ;1
16;pbc amber test case pbc amber trajectori provid ranjit vijayan variou fix bug uncov testcas function fortranread class amber format trj test exampl convers amber dcd ;1
17;garbag collect univers atomgroup unpickl close ;1
18;port coordin modul ;1
19;summari patch resolv issu whitespac longer requir around parenthes selectatom string modul mdanalysi core select class selectionpars method pars self selectstr add bound whitespac around input string parser handl lack whitespac method consum token self class also streamlin incorpor built pop method rather verbos altern place chang pass unit test introduc enhanc changelog ;1
20;small fix chang futur divis six rang test psa separ pair analysi run pair analysi run move plot coupl distanc matrix check psanalysi method psanalysi cluster use gener distanc matrix default check proper dist matrix format dist mat kwarg specifi updat docstr psanalysi cluster ;1
21;complet changelog updat recent teneleven chang fix ;1
22;tst mdanalysistest asv depend matrix along appropri conda channel combin modif fork asv fix ;1
23;dcd xtc convers work exampl script dcdxtc hack fix xdr writer substitut miss paramet mayb need someth similar dcd writer well test ;1
24;mdanalysi correctli write float data time coordin field ncdf file fix ;1
25;test topolog string type variou format fix ;1
26;fix segid tpr parser python ;1
27;manifest fix add file distribut also make sure html doc includ cleanup ;1
28;patch argument type check logic function dist mat vec correspond unit test thorough check specif error messag string fix ;1
29;doc html gitignor fix ;1
30;fix distanc test run deprec code remov ;1
31;tst test segid str type test str type fix ;1
32;fix dcd writer wrote wrong unitcel ;1
33;fix trzwriter handl non trz timestep ;1
34;leafletfind remov deprec atom method rest fix ;1
35;fix hyperlink extern resourc doc mdanalysi coordin pqr ;1
36;releas fix enhanc data file move separ packag mdanalysistestdata ;1
37;fix tri write empti atomgroup give clear messag ;1
38;select keyword fix ;1
39;releas fix enhanc remov depend lapack ;1
40;minor rest fix doc volunt anyon ;1
41;select keyword fix ;1
42;improp test case rest fix ;1
43;rest fix analysi densiti ;1
44;hole fix cpoint ignor ;1
45;move teneleven fix insid packag ;1
46;hbond analysi fix new featur start stop step ;1
47;fix rmsd select appli atomgroup ;1
48;singl frame reader fix ;1
49;fix incompat leafletfind newer numpi close ;1
50;unstabl fix hbond least run ;1
51;fix enhanc analysi align ;1
52;rest format fix ;1
53;rest fix analysi psa ;1
54;nuclinfo test fix ;1
55;fix lammp data parser ;1
56;hydrogenbondanalysi check select fix ;1
57;rest fix ;1
58;rest fix throughout ;1
59;helan fix test case ;1
60;fix parallel build travi nose requir ;1
61;fix nose call caus coverag misreport ;1
62;fix lammp data parser ;1
63;helan minor fix request review ;1
64;minor fix coordin code doc ;1
65;fix ;1
66;final fix ;1
67;fix libdcd ;1
68;rest fix ;1
69;fix primitivepdbwrit primitivepdbread ;1
70;minor fix primitivepdb reader writer ;1
71;fix pdb gro writer ;1
72;duecredit small fix ;1
73;fix issu ;1
74;aesthet fix test gro ;1
75;fix topologygroup ;1
76;fix ;1
77;fix issu ;1
78;fix compat ;1
79;fix interrdf ;1
80;new teneleven modul run mda convers directli command line without copi modul elsewher new fix packag directori hold fix ;1
81;new test import modul enforc ban rel import unit test modul issu manual repair unit test modul caught unit test import statement ;1
82;minor fix primitivepdbwrit ;1
83;fix stochasticproxemb pyx cython compil error ;1
84;frame writer take univers fix one half issu univers attribut univers alter gro crd primitivepdb writer deal univers argument get coordin atom instead select perform penalti make use improv hierarchi fact atom true atomgroup test case pass ;1
85;veloc may access gro file atomgroup veloc atom veloc veloc unit test includ commit verifi atomgroup atom specif veloc read function preserv gro file implement use veloc attribut address issu ;1
86;incorpor new fixer cover part chang introduc issu method properti return object crude test exampl also updat ;1
87;merg luka grossar hydrogenbondanalysi issu ;1
88;new fixer deal torsion dihedr convers issu involv atomgroup atom univers crude exampl test also ;1
89;support pdb charact resnam segid output write primitivepdbwrit issu patch dcaplan tri read write pdb charact resnam use namd vmd end improperli format pdb file also issu segid written made quick patch add support charact resnam chang format string output write segid also simpl support better guess atom type sinc function guess atom type return still sure deal type format string write pdb ;1
90;issu access coordin function univers segment fail caus previou skip check empti atomgroup revert previou version ;1
91;chain reader issu univers read list file concaten transpar fli univers psf dcd dcd basic trajectori api implement index slice mix format simpl test case ;1
92;fix issu handl case number item exactli divis number item per line previous code would alway round instead round exactli divis ;1
93;mani differ code correct accord code review issu inculd testsuit topolog reader testsuit topolog reader modifi ;1
94;atomgroup index rework implement advanc slice issu index atomgroup alway behav like list integ atom slice atomgroup list array atomgroup new fix issu test case modifi older test case basic atom cannot use test equal atomgroup use atom updat changelog reorgan big atomgroup section ;1
95;trr fulli awar miss coord vel forc inform issu except rais access miss data ;1
96;experiment support special lammp dcd reder writer issu ;1
97;rmsf analysi class analysi rmsf close issu ;1
98;resolv issu trajectori slice possibl mdanalysi analysi contact contactanalysi run method ;1
99;remov trajectori test data issu ;1
100;merg featur xpdb extend pdb develop close issu ;1
101;patch issu frame iter test coord match unit test pass ;1
102;increas requir biopython version issu ;1
103;guess bond univers atomgroup issu ;1
104;rebuilt doc sphinx check issu ;1
