;texts;labels
0;modif pass abiref nag openmpi modif nstep libxc prevent test paral fix problem shape mismatch mpiio ;1
1;fix run time error caus psml api chang ;1
2;fix run time error caus psml api chang ;1
3;correct argument declar thmeig ;1
4;kinet energi bug rfmagn resolv ;1
5;post merg correct ;1
6;fix problem binari conf also updat file ;1
7;captur incorrect topic tribe input variabl also minor style correct ;1
8;forgot abi dealloc robodoc mess hope fix ;1
9;fix silli mistak due incomplet use grchempottn like gradual implement use ;1
10;debug mpi scatter ;1
11;bug paral kgb enl incomplet ;1
12;fix cutd atom charg spinat direct ;1
13;fix charact length actual argument shorter dummi argument ;1
14;avoid bug xmpi sum master mpich trigger sigfp ;1
15;fix actual argument associ intent like ;1
16;fix dimens order potenti ;1
17;correct pawmkrho call bigdft ;1
18;fix conflict trunk ;1
19;fix argument declar long rang ;1
20;fix conflict trunk ;1
21;correct order pseudopotenti input file ;1
22;fix read order deriv ;1
23;correct term ehxc nhat depend usexcnhat ;1
24;debug farmtest ;1
25;debug nfixcoeff fitpolynom ;1
26;debug nctime ;1
27;debug state ;1
28;add correct doubl count usepawu ;1
29;fix depend macrcoav bigdft fallback activ default ;1
30;fix incorrect directori typo ;1
31;fix elpa detect issu found thank easybuild ;1
32;fix incorrect filter check kxc fault adjust toler ;1
33;merg fix latest sergei branch ;1
34;temporari implement full output fix mrggkk ;1
35;correct link vardmft varbs tutori ;1
36;fix translat vector use vphq complet ;1
37;fix fail make distcheck ;1
38;output renam fix ;1
39;debug bound process ;1
40;debug bound process ;1
41;fix ntypat anaddb ;1
42;fix integr error quit bad core charg toler increas ;1
43;tri fix sigfp paral mpi abiref gnu openmpi ;1
44;bug larg number atom ;1
45;fix input varibal doc ;1
46;backport boltztrap fix default energi window ;1
47;multibinit bug fix strain coupl ;1
48;fix read ntypat ;1
49;correct appli zpr due miss volum comput ;1
50;yet anoth bug abilint ;1
51;correct doc insid input file ;1
52;backport doc fix ;1
53;fix conflict ;1
54;correct number instal note ;1
55;fix deadlock sigmaeph output hdf mpi ;1
56;bug foldbloch desktop hpc ;1
57;hopeless attempt evinc caus bug ;1
58;fix wrong display valu fock fraction use custom hyb mix ;1
59;fix varfil varset gener doc appli ;1
60;test refer correct paw fock stress ;1
61;bug print magic correct updat ref file ;1
62;fix miss depend macroav abitool ;1
63;multibinit debug fit process ;1
64;fix undeclar depend mrggkk ;1
65;correct magnet rotat dfpt paw ;1
66;fix command line interfac foldbloch ;1
67;fix memori leak execut ibm netcdf ;1
68;correct occopt restrict nonlinear ;1
69;misc correct ;1
70;set final test also found one bug yet work ;1
71;memori leak fix ;1
72;tri fix problem tbuildsi bin configur command found modifi check libpaw ;1
73;bug correct common setvtr constrain mag moment loop ispden instead line affect automat test ;1
74;fix miss depend abitool netcdf ;1
75;fix build exampl refer file buda gnu ;1
76;link help anaddb html xxx correct ;1
77;merg linalg numer noabirul fix circular depend ;1
78;continu fix bug script old html file ;1
79;fix typo buildsi check ;1
80;correct dev cpp var name ;1
81;fix typo modifi iovar invar ;1
82;fix typo scfcv ;1
83;fix typo outvar relat prtefma ;1
84;fix cpp option ;1
85;correct declar nhat dfpt scfcv use ipert natom stress ;1
86;multibinit quick fix read xml fortran ;1
87;fix problem plot script well address script tdepe file ;1
88;fix test ;1
89;fix invalid escap seq string ;1
90;minor fix compil ;1
91;write aftr eph add autopar section eph fix bug call complet gamma nsppol ;1
92;libxc input file pbe fix doc also valu ;1
93;fix auto test ;1
94;minor fix merg fran ;1
95;chang tolm tolkm also fix problem input mpiio ;1
96;fix point parallel eph gkk ;1
97;still one fix incorrect switch xyzfil variabl ;1
98;extract invari avoid intern compil error intel ;1
99;cplex modif phonon magnet field spinalign flag fix vefiy filter properli work problem parallel rfmagn ;1
100;fix eph kptopt ;1
101;tri fix portabl issu ;1
102;fix charact express truncat assign ;1
103;fix compil problem elpa progress def test libxc ;1
104;correct subscript rang detect nag ;1
105;correct term involv deriv lagrang multipli ;1
106;fix newtop topic ;1
107;fix wrong bantot pass eband init dfpt loopert prtgkk ieigrf ;1
108;fix ref file ;1
109;fix doc hyb rang input variabl ;1
110;correct place list topic class yml ;1
111;local laptop fix mani bot ;1
112;correct condit dmft usepawu ;1
113;correct topic class topic name xyzfil switch ;1
114;correct inlind abi alloc statement ;1
115;fix new nag ;1
116;fix broken gwfockmix support ;1
117;correct dimens becij dfrnl ;1
118;correct alloc getgsc usecprj ;1
119;correct dfptnl pert parallel comput ;1
120;correct arg hartr respfn ;1
121;revert quick fix get around occasion fft mesh error hybrid function calcul ;1
122;correct bug dfptnl pert wrong use appli ham dfptnl loop core densiti ;1
123;correct directori tutori nick pike ;1
124;correct atom order test getghc ;1
125;improv comment fix equat lesson tdepe ;1
126;prepar correct link varanaddb ;1
127;correct bug due merg rhotoxc ;1
128;quick fix get around occasion fft mesh error hybrid function calcul ;1
129;fix last memori leak problem think ;1
130;correct paw dfptnl accrhoij term involv nhat dfptnl pert ;1
131;fix outdat doc vdw ;1
132;correct posit densfor pred echo ;1
133;bug correct stress fock context stress paw work parallel calcul also ;1
134;fix remain read std ;1
135;fix intern link remov site url mkdoc yml ;1
136;correct term paw dfptnl energi ;1
137;multibinit add option order fix coeff fit process ;1
138;fix problem due prior suppress unus arg ;1
139;fix typo incoher doc relat densfor pred ;1
140;fix doc hyb mix variabl ;1
141;fix non remov arg ;1
142;correct select direct prepanl ;1
143;fix dimens atmfrc tdep abityp ;1
144;fix dimens atmfrc array ;1
145;fix problem doc chkdilatmx robodoc ;1
146;small fix fit process remov coeff supperior ;1
147;fix alloc problem cprj updat test clear speed observ wfmix paw case ;1
148;fix netcdf call netcdf ;1
149;multibinit quick fix merg trunk ;1
150;miscellan fix ;1
151;fix problem indic src lincom cgcprj check work ;1
152;fix incorrect arg hartr ;1
153;fix incorrect mpiio ;1
154;fix sigfp nband mband ;1
155;fix misplac endif ;1
156;fix invalid escap sequenc ;1
157;renam theori xxx yml theorydoc xxx also fix numer link ;1
158;import fix intel compil jordan modifi bathoper ;1
159;fix invar outvar relat develop ;1
160;fix glitch pspin ;1
161;fix thmeig ;1
162;fix bug kpt add non local energi calcul test ;1
163;small correct dfpt looppert ;1
164;fix end marker modifi geomoptim lbfg ;1
165;fix problem tdepe tutori samuel script ;1
166;fix problem shift use norm conserv test libxc ;1
167;fix link topic dir ;1
168;fix link user dir ;1
169;fix newlin issu abinit var yml use gui java version ;1
170;shorten fix link ;1
171;fix recognit link ;1
172;continu fix link tutori theori ;1
173;fix minor problem regen varg html modifi abinit var yml html automat gener varg html ;1
174;continu correct link ;1
175;final html use gener topic file fix one problem ;1
176;correct merg error ;1
177;fix autopar eph ;1
178;fix matthieu problem http forum abinit org viewtop php ;1
179;fix conflict insid known problem ;1
180;fix mani link also minor modif ;1
181;fix link problem detect linkcheck ;1
182;debug ;1
183;debug ;1
184;correct pointer pleas ifort ;1
185;correct enl ptr getghc ;1
186;correct getghc ;1
187;chane temporarili ref abirul order jean michel fix small issu ;1
188;fix minor issu abinit compil ;1
189;fix bug electronphononcoupl affect mpi run ;1
190;fix last problem detect linkcheck ;1
191;suppress old playground also fix minor issu ;1
192;updat ref file due fix smdelta problem ;1
193;fix link turtori dir ;1
194;correct link crpa tutori ;1
195;fix merg hope ;1
196;fix merg ;1
197;fix display issu rang separ paramet ;1
198;debug ;1
199;debug ;1
200;debug ;1
201;debug ;1
202;debug prtnabla ;1
203;small fix mpi fit process ;1
204;fix warn encount mksite warn know handl wikilink token also miscellan fix ;1
205;fix minor problem src dotprod set cgcprj pass abilint ;1
206;fix small inconsist relat point ;1
207;fix minor problem link thing detect test farm ;1
208;fix import ;1
209;fix duplic import ;1
210;fix import ;1
211;fix minor typo modifi iovar chkinp ;1
212;fix charact express truncat assign problem ;1
213;fix hyperlink modifi lesson basepar html ;1
214;quick fix get around occasion fft mesh error hybrid calcul ;1
215;tri fix speed sound calcul ;1
216;correct comput dfptnl pert plu minor improv ;1
217;petru max fix ;1
218;fix max ;1
219;fix test thermo argument evalu ;1
220;fix robodoc tag ;1
221;minor correct dfpt vtorho ;1
222;fix problem detect linkcheck tutori doc ;1
223;correct nloalg opernlb ylm ;1
224;reinstal correct testfarm conf ;1
225;robodoc correct ;1
226;bug correct trunk modul miss makemak updat ;1
227;fix problem robodoc ;1
228;link correct ;1
229;fix small bug electronphononcoupl modul would prevent proper import ;1
230;minor correct ;1
231;start correct mani minor issu ;1
232;fix link ;1
233;fix link robodoc ;1
234;fix mani link relat aim ;1
235;fix minor problem compil ;1
236;fix minor stuff ;1
237;fix linkcheck problem minor improv well ;1
238;fix minor problem input file ;1
239;fix alloc issu ;1
240;fix subset borken link detect lincheck ;1
241;fix compil problem ;1
242;fix depend ;1
243;fix incoher alloc amass ;1
244;fix close balis remark jmb ;1
245;fix url ;1
246;fix misplac netcdf ;1
247;fix format isfil ;1
248;fix echo kptn ;1
249;fix roboidiot marker ;1
250;fix converg ;1
251;error due backport ;1
252;fix order relev topic ;1
253;fix use time ;1
254;fix problem luo readm xlf ;1
255;small bug fix test ;1
256;fix problem arg pawgrnl fock getghc also suppress two debug write statement ;1
257;fix problem make info html tar file ;1
258;fix small small detect jmichel ;1
259;correct permiss strang see chang ;1
260;fix wrong varnam anaddb test ;1
261;fix issu order eigenvalu print ;1
262;dirti fix fft issu hybrid ;1
263;fix minor problem acknowledg html ;1
264;fix timab bug src getghc ;1
265;debug think found bug dvdb ftinterp qpt ;1
266;implement correct determin new wght ;1
267;bug correct stress fock calcul ;1
268;quick fix ;1
269;merg correct ;1
270;correct mess merg ;1
271;correct netcdf support ;1
272;two fix relat abi contigu ;1
273;fix abirul timana ;1
274;abirul fix ;1
275;fix xml ddb read bug clean ;1
276;fix bigdft compil ;1
277;correct fail test ;1
278;fix def datatyp avail build wvl wrapper ;1
279;fix minor problem ;1
280;fix doc rfatpol ;1
281;bug fix vector correctli comput getcel ;1
282;fix list arg ;1
283;quick fix vdw chkinp test restrict ;1
284;fix error messag gener case restrict dmft calcul ;1
285;minor fix ;1
286;minor fix ;1
287;minor fix ;1
288;minor fix ;1
289;minor fix ;1
290;minor fix ;1
291;minor fix ;1
292;fix minor issu ;1
293;fix minor issu ;1
294;correct merg ;1
295;max bot error fix ;1
296;fix zeeman bug chang sever line relat constrain magnet setvtr debug templat dynam magnet charg ;1
297;fix issu ;1
298;fix bug mkphdo introduc gitlab version pjdose sum tot phdo ;1
299;fix warningschk ;1
300;one minor fix problem detect linkcheck ;1
301;smdelta integ use intarr bug seen fix jordan bieder ;1
302;fix bug smpbz take account shiftk incorrect ;1
303;fix minor problem abi check ;1
