;texts;labels
0;account new fix halt properli pdf onlin doc ;1
1;molecul maxspeci valu correct special autogener ;1
2;made ndof dynam temperatur fix comput ;1
3;user dpd correct one error pairmultilucyrx coeff ;1
4;user dpd correct one error pairtablerx coeff ;1
5;correct index bug pair style long tipp long ;1
6;correct index bug pair style long tipp long ;1
7;correct acceler flag dpd style pair style overview ;1
8;correct fix neb document ;1
9;user dpd bugfix array chang length non kokko version ;1
10;user dpd bugfix npair half bin newton ssa bond involv local valid special array find neighbor ghost swap argument find special ;1
11;user dpd bugfix fix fix tabl handl restart file patch jim larentzo appli tim mattox ;1
12;user dpd bugfix reset call thought call move calcul dtsqrt insid fixshardlow initi integr ;1
13;correct formula case ;1
14;propag global packag instal bugfix explicit packag script ;1
15;bugfix virial talli improp style umbrella steven vandenbrand gent ;1
16;bugfix comput pressur grem must make copi argument string ;1
17;incorpor bugfix cleanup lammp icm upstream ;1
18;bugfix virial talli improp style umbrella steven vandenbrand gent ;1
19;user dpd bugfix properli initi local temperatur averag array ;1
20;user dpd bugfix properli initi local temperatur averag array ;1
21;cleanup bugfix comput heat flux talli ;1
22;restrain energi must increment bugfix robert meissner post lammp user ;1
23;bugfix angleangl term class improp ivan strelnikov icp ;1
24;bugfix angleangl term class improp ivan strelnikov icp ;1
25;user dpd kokko bugfix rare case ssa ghost process parallel local ;1
26;user dpd kokko bugfix add misisng line code pair exp kokko cpp ;1
27;user dpd bugfix make atom vec dpd work properli atom vec hybrid send much data pack comm hybrid unpack comm hybrid ;1
28;reaxff correct bond order bugfix tom trnka trnka scm com post lammp user ;1
29;tini bugfix reset flag brief explan chang ;1
30;bugfix kroneck term ignor spline forc ;1
31;user dpd bugfix new pairexprx polynomialsc function ;1
32;user dpd bugfix segfault use molecul dpd togeth ;1
33;user dpd bugfix unpack comm hybrid work hybrid atom style ;1
34;user dpd aplli unpack comm hybrid bugfix atom vec dpd kokko cpp ;1
35;correct input exampl affect pair set bugfix ;1
36;bugfix librari interfac ;1
37;user dpd kokko replic acf bugfix pair tabl kokko cpp ;1
38;user dpd kokko replic acf bugfix pair tabl kokko cpp ;1
39;user dpd kokko replic bugfix atom vec dpd kokko cpp ;1
40;bugfix limit keyword ;1
41;bugfix use kokko atom fetch max avoid race new maxneigh ;1
42;bugfix build lammp kokko dpd cmake ;1
43;user dpd kokko propag bugfix pair multi luci kokko cpp ;1
44;bugfix avoid oper uniniti data close ;1
45;user dpd pair multi luci bugfix system multipl atom type ;1
46;bugfix effect plastic strain rate calc ;1
47;user dpd kokko bugfix npair ssa kokko cpp correspond cdfcd ;1
48;appli bugfix meam provid wolfgang verestek lammp user ;1
49;bugfix check imag flag ;1
50;bugfix prevent possibl deadlock irregular creat atom creat data ;1
51;bugfix axel ;1
52;bugfix pars mpirun ;1
53;address cosmet issu flag wpedant ;1
54;kokko bugfix ;1
55;updat user reaxc code user omp chri knight address issu multipl thread use ;1
56;correct error etail ptail ;1
57;updat user reaxc code user omp chri knight address issu multipl thread use ;1
58;avoid issu detect cover scan ;1
59;address issu uninstal empti packag eras code src ;1
60;address issu uninstal empti packag eras code src ;1
61;correct error etail ptail ;1
62;appli bugfix two year ago ;1
63;avoid possibl memori leak ;1
64;bugfix ;1
65;memori alloc bugfix user intel pppm brown ;1
66;correct minor issu lammp compil ;1
67;avoid tini memori leak restart command specifi multipl time ;1
68;bug dump multipl file fail error messag complain miss append option ;1
69;correct potenti bound memori access ;1
70;correct bound access ;1
71;appli airebo bugfix also user omp version ;1
72;correct small harmless logic error ;1
73;correct broken link html bond doc overview ;1
74;correct bug track atom nlocal atom nmax alloc pbc enforc buffer ;1
75;avoid small memori leak user reaxc user omp spot gcc address sanit ;1
76;correct command tabl format issu ;1
77;correct format broken collid link issu latt packag relat document ;1
78;correct error liouvil factor ;1
79;bug proper handl bigint data correct behavior compil lammp bigbig ;1
80;plug small memori leak user omp variant pppm kspace style ;1
81;avoid memori leak pppm disp omp ;1
82;correct minor bug util script ;1
83;address uniniti variabl issu point valgrind cover ;1
84;combin citem log entri pair reax omp fix qeq reax omp ;1
85;workaround compil bug gcc manifest kokko snap ;1
86;appli bugfix reaxff taper function describ issu ;1
87;appli correct issu report static code analysi ;1
88;address bug multifil restart write step number includ ;1
89;tweak flangevin issu ;1
90;workaround issu pair snap kokko impl ;1
91;fix array bound issu due typo spot gcc ;1
92;fix array bound issu due typo spot gcc ;1
93;fix error fixrxkokko kokko neighbor list initi usag call computelocaltemperatur ;1
94;correct one error line number report ;1
95;jpg kolmogorov crespi equat fix hybrid overlay check sourc ;1
96;fix cover issu cid ;1
97;fix cover issu cid ;1
98;fix cover issu cid ;1
99;fix cover issu cid ;1
100;fix problem imag flag attempt molecul insert full clean thing littl ;1
101;fix bug pppm gpu use comput group group ;1
102;fix shebang renam lib kim instal ;1
103;small error element alloc caus seg fault parallel run fix ;1
104;fix tabul pair vashishta use pair modifi command style pair style ;1
105;fix header forc field file ;1
106;fix header forc field file ;1
107;chang purg target makefil also fix one issu make ;1
108;implement python sourc command suggest issu ;1
109;fix pbc wrap case spheric bin ;1
110;fix uniniti variabl multipl molecul set ;1
111;fix code style ;1
112;fix broken exampl null stess atom command ;1
113;fix case axial compon activ ;1
114;fix molecul mass gcmc offset appli ;1
115;fix undefin tdof setup ;1
116;min latt partial fix ;1
117;fix error onemol initi gcmc use non first molecul templat ;1
